"student_id","student_name","age","major","gpa"
"0","Patrick Arroyo","24","Computer Science","3.39"
"1","Patricia Adkins","18","Data Science","3.48"
"2","Nicole Davis","20","Computer Science","3.94"
"3","Shari Stone","24","Computer Science","3.25"
"4","Donald Wright","19","Computer Science","3.44"
"5","Joseph Meyer","22","Computer Engineering","3.16"
"6","Kara Moreno","22","Data Science","3.02"
"7","Lisa Thomas","21","Computer Engineering","3.22"
"8","Leslie Vega","20","Data Science","3.82"
"9","Karina Summers","20","Data Science","2.89"
"10","Shawn Perez","20","Computer Engineering","2.97"
"11","Kathleen Davis","24","Computer Science","3.38"
"12","Dana Norman","21","Data Science","2.94"
"13","Carl Gilbert","20","Computer Science","3.03"
"14","Kristen Bradford","22","Data Science","3.68"
"15","Destiny Gray DDS","18","Data Science","2.94"
"16","Kenneth Murphy","20","Data Science","3.58"
"17","Brenda Vazquez","18","Computer Engineering","3.31"
"18","James Walker","20","Computer Engineering","3.91"
"19","Denise Compton","23","Data Science","3.04"
"20","Amber Valenzuela","21","Data Science","3.76"
"21","Allison Jackson","21","Computer Engineering","3.74"
"22","Brittney Perkins","21","Computer Engineering","2.87"
"23","John Reynolds","24","Computer Science","3.72"
"24","Barbara Miller","20","Data Science","3.5"
"25","Isaiah Barajas","18","Computer Science","3.08"
"26","Melissa Potts","22","Computer Science","3.15"
"27","Daniel Cruz","24","Computer Engineering","3.75"
"28","William Jones","23","Data Science","3.88"
"29","Chelsea Martinez DVM","22","Computer Science","3.62"
"30","Beverly Johnson","22","Data Science","3.17"
"31","Derek Sandoval","21","Computer Engineering","2.89"
"32","Oscar Hayes","24","Data Science","3.96"
"33","Morgan Boyd","21","Computer Engineering","3.23"
"34","Matthew Campbell","24","Data Science","2.92"
"35","Michael Burns","19","Computer Engineering","3.13"
"36","Monica Day","23","Computer Engineering","2.81"
"37","Krista Sharp","18","Data Science","3.85"
"38","Gregg Medina","19","Computer Science","3.52"
"39","Patricia Anderson","22","Computer Engineering","3.73"
"40","Ryan Cabrera","24","Computer Engineering","3.51"
"41","Katie Winters","22","Data Science","3.83"
"42","John Gutierrez","23","Computer Science","3.06"
"43","Dana Riley","18","Computer Engineering","3.05"
"44","Amanda Poole","23","Data Science","3.26"
"45","Lisa Smith","19","Computer Science","3.96"
"46","Daniel Tran","23","Computer Engineering","3.67"
"47","Chase Martinez","24","Data Science","3.29"
"48","Kimberly Powell","21","Computer Science","2.86"
"49","Louis Dixon","23","Computer Science","3.72"
"50","Jermaine Spencer","18","Data Science","3.24"
"51","Nathan Ramirez","21","Computer Science","3.45"
"52","Larry Harrington","24","Computer Science","2.98"
"53","Brandon Smith","19","Computer Science","2.99"
"54","Tiffany Hurley","19","Computer Engineering","3.39"
"55","Gabrielle Leonard","20","Computer Engineering","3.51"
"56","Kathleen Henderson","18","Computer Engineering","3.51"
"57","Mark Hudson","18","Computer Engineering","3.89"
"58","Terrence Dickson","22","Data Science","3.33"
"59","Adrian Jackson","23","Data Science","3.61"
"60","Taylor Carlson","23","Computer Engineering","3.88"
"61","Sharon Watson","20","Computer Science","3.78"
"62","Mary Carter","23","Computer Engineering","2.9"
"63","Andrew Miller","21","Computer Science","3.1"
"64","Thomas Jones","20","Data Science","3.85"
"65","Christine Frazier","22","Data Science","3.77"
"66","Jessica Pope","20","Data Science","3.27"
"67","Sarah Hicks","21","Data Science","3.06"
"68","Julie Jones","22","Data Science","3.82"
"69","Alicia Jimenez","21","Computer Science","3.56"
"70","Mackenzie Berry","21","Data Science","3.48"
"71","Jeffrey Smith","19","Computer Science","3.24"
"72","Cory Cole","19","Computer Science","3.73"
"73","Melissa Thomas","21","Data Science","2.94"
"74","Rebecca Clark","18","Computer Engineering","3.21"
"75","Laura Rodriguez","20","Computer Engineering","3.93"
"76","James Gilbert","19","Data Science","2.88"
"77","Matthew Reyes","18","Computer Engineering","3.5"
"78","Jessica Sullivan","20","Data Science","3.09"
"79","Theresa Cole","18","Computer Science","3.64"
"80","David Bass","23","Computer Engineering","3.29"
"81","Robert Moore","21","Computer Science","3.01"
"82","James Harper","23","Computer Science","3.25"
"83","Jeanne Reyes","19","Computer Engineering","3.11"
"84","Andre Gross","24","Computer Engineering","3.25"
"85","Anthony Scott","22","Computer Engineering","4.0"
"86","Scott Bryant","24","Data Science","3.93"
"87","Madison Smith","23","Computer Engineering","3.91"
"88","Jesse Alexander","23","Computer Science","3.8"
"89","Andrew Bell","19","Computer Engineering","3.64"
"90","Michael Vaughn","20","Computer Engineering","3.82"
"91","Andrew Nguyen","20","Data Science","3.39"
"92","William Long","22","Computer Engineering","2.82"
"93","Thomas Wallace","22","Computer Science","3.76"
"94","Breanna Alexander","18","Computer Science","2.98"
"95","Jennifer Roach","19","Data Science","3.01"
"96","Morgan Gonzalez","19","Computer Science","3.87"
"97","David Clark","23","Computer Engineering","3.7"
"98","Brittany Lindsey","18","Computer Science","2.94"
"99","Allison Rivera","18","Computer Science","3.84"
"100","Jessica Cooper","22","Data Science","3.11"
"101","Ryan Robinson","19","Computer Science","2.82"
"102","David Gilbert","24","Computer Science","2.97"
"103","Joseph Hicks","21","Computer Engineering","3.09"
"104","David Burns","22","Computer Engineering","3.23"
"105","Jason Lopez","20","Data Science","3.38"
"106","Amy Reed","22","Data Science","3.63"
"107","Caroline Olson","21","Computer Engineering","3.71"
"108","Gina Anthony","21","Computer Science","3.26"
"109","Karla Robinson","21","Computer Engineering","3.36"
"110","Douglas Jennings","20","Data Science","3.44"
"111","Christopher Young","20","Computer Engineering","3.38"
"112","Robert Macdonald","23","Computer Engineering","3.34"
"113","Carrie Clark","22","Data Science","3.29"
"114","Mrs. Sabrina Cortez","21","Computer Engineering","2.83"
"115","Nicholas Carlson","21","Computer Science","3.36"
"116","Rita Potter","23","Computer Engineering","3.78"
"117","John Adams","18","Computer Engineering","3.79"
"118","Alex Allen","21","Computer Science","3.29"
"119","John Miller","18","Computer Engineering","2.94"
"120","David Cardenas","19","Computer Engineering","3.17"
"121","Paula Stevens DDS","22","Computer Science","3.1"
"122","Toni Harmon","21","Computer Engineering","2.97"
"123","Annette Salazar","20","Data Science","3.09"
"124","Mr. Charles Fischer","18","Computer Science","3.73"
"125","Mrs. Caroline Calderon","24","Computer Engineering","3.41"
"126","Katelyn Diaz","20","Data Science","3.94"
"127","Brett King","23","Computer Science","3.24"
"128","Kelly Morgan","19","Data Science","3.83"
"129","Katherine Baldwin","24","Computer Engineering","3.65"
"130","David Ramirez DDS","24","Computer Science","3.15"
"131","Karen Hinton","20","Computer Science","3.13"
"132","Danielle Walker","20","Computer Engineering","3.65"
"133","Robin Sparks","21","Computer Science","3.92"
"134","Timothy Nguyen","19","Computer Engineering","3.25"
"135","Tyler King","20","Computer Engineering","3.97"
"136","Kevin Johnson","20","Data Science","3.35"
"137","Amanda Morrow","18","Data Science","3.97"
"138","Jason Brown","23","Data Science","3.09"
"139","Matthew Foster","18","Computer Science","3.82"
"140","Michael Skinner","24","Computer Engineering","3.01"
"141","Donald Holland","19","Computer Engineering","3.97"
"142","Brittney Mclean","19","Computer Science","3.9"
"143","Caroline Pitts","24","Data Science","3.61"
"144","Claudia Jackson","19","Computer Engineering","3.89"
"145","Cynthia Griffin","22","Computer Engineering","3.77"
"146","Steven Cox","19","Computer Engineering","3.84"
"147","Patrick Mendez","23","Computer Engineering","3.37"
"148","Joseph Stanley","18","Computer Science","3.98"
"149","Erika Johnston","20","Computer Science","3.43"
"150","Christopher Hill","23","Data Science","3.58"
"151","Bryan Fisher","18","Computer Science","3.36"
"152","Michael Cherry","24","Data Science","3.78"
"153","Ryan Ibarra","23","Computer Science","3.71"
"154","Ashley Guerra","24","Computer Engineering","3.42"
"155","Matthew Woods","18","Computer Science","3.92"
"156","Margaret Stone","20","Data Science","3.29"
"157","Timothy Marquez","18","Data Science","3.54"
"158","Cole Irwin","21","Computer Engineering","3.17"
"159","Sarah West","23","Computer Science","3.43"
"160","Aaron Woods","18","Computer Engineering","3.5"
"161","Isabel Mccoy","20","Computer Engineering","3.79"
"162","Leah Osborn","22","Computer Engineering","3.64"
"163","Katherine Frazier","19","Computer Engineering","3.1"
"164","Scott Smith","20","Data Science","3.01"
"165","Isabella Riley","18","Computer Science","3.68"
"166","Rachel Willis","23","Computer Engineering","2.92"
"167","Robert Flores","18","Data Science","3.62"
"168","Julia Myers","21","Computer Science","3.11"
"169","Jessica Kelley","20","Computer Science","3.78"
"170","Marissa Sanders","20","Data Science","3.5"
"171","Bryan Blair","23","Data Science","3.34"
"172","Timothy Hall","18","Data Science","3.77"
"173","Robert Landry","18","Data Science","2.96"
"174","Robin Peterson","23","Data Science","3.09"
"175","Matthew Cruz","22","Computer Science","3.81"
"176","Carol Nelson","21","Computer Science","2.93"
"177","James Hill","23","Computer Science","3.35"
"178","Ashley Austin","24","Data Science","3.38"
"179","Michael Wilkerson","24","Data Science","2.84"
"180","Mary Spencer","18","Data Science","3.09"
"181","Cassandra Anderson","22","Computer Science","3.69"
"182","Noah Fernandez","22","Computer Engineering","3.66"
"183","Nancy Gibson","19","Computer Engineering","2.99"
"184","Joshua Harvey","20","Computer Science","3.99"
"185","Paul Rivas","22","Computer Engineering","2.84"
